KOD;BİLEŞEN ADI;AÇIKLAMA
V30;Arıtma Dönüş Aktuatör Vanası valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V31;1. Proses Tankı Tahliye Vanası Aç Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V32;1. Proses Tankı Tahliye Vanası Kapat Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V33;2. Proses Tankı Tahliye Vanası Aç Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V34;2. Proses Tankı Tahliye Vanası Kapat Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V35;3. Proses Tankı Tahliye Vanası Aç Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V36;3. Proses Tankı Tahliye Vanası Kapat Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V37;4. Proses Tankı Tahliye Vanası Aç Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V38;4. Proses Tankı Tahliye Vanası Kapat Valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V39;Hücre Boşaltma Pistonu Vanası Aç Valf'i;İlgili tahliye veya piston vanasının açılma komutunu uygular. Pnömatik aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V40;Hücre Boşaltma Pistonu Vanası Kapat Valf'i;İlgili tahliye veya piston vanasının kapanma komutunu uygular. Pnömatik aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V41;Sepet Alma Kontrol Valfi 1;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V42;Sepet Alma Kontol Valfi 2;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V43;1. Process Tankı Kapak Pistonu Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V44;2. Process Tankı Kapak Pistonu Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V45;1. Process Tankı Kapak Pistonu Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V46;2. Process Tankı Kapak Pistonu Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V47;Ana Valf;"Ana proses akış yönlendirme vanasıdır; hat seçimi ve izolasyon sağlar. Ana proses hattı ve PLC dijital çıkış devresine bağlıdır."
V48;Kapak Aç Valf'i;İlgili tahliye veya piston vanasının açılma komutunu uygular. Pnömatik aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V49;Kapak Kapat Valf'i;İlgili tahliye veya piston vanasının kapanma komutunu uygular. Pnömatik aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V50;1. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V51;2. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V52;3. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V53;4. Proses Tankından Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V54;1. Hücreden Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V55;2. Hücreden Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V56;3. Hücreden Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V57;4. Hücreden Pompaya Emiş Aktüatör Vanası Valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V58;Egzos Hattı Aktüatör Vanası Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V59;1. Proses Hattı Aktüatör Vanası Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V60;2. Proses Hattı Aktüatör Vanası Valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
